Date,Open,High,Low,Close,Adj Close,Volume
5/7/2020,2.706666,2.822718,2.66801,2.75868,2.75868,217885578
5/8/2020,2.757404,2.828508,2.700999,2.764555,2.764555,160038600
5/9/2020,null,null,null,null,null,null
5/10/2020,null,null,null,null,null,null
5/11/2020,null,null,null,null,null,null
5/12/2020,null,null,null,null,null,null
5/13/2020,null,null,null,null,null,null
5/14/2020,null,null,null,null,null,null
5/15/2020,null,null,null,null,null,null
5/16/2020,2.493084,2.651338,2.474514,2.627104,2.627104,119251093
5/17/2020,2.627104,2.685266,2.607803,2.623696,2.623696,122058935
5/18/2020,2.622387,2.761189,2.619175,2.750676,2.750676,133052170
5/19/2020,2.750408,2.831248,2.652777,2.812063,2.812063,126136972
5/20/2020,2.807305,2.888905,2.746719,2.811316,2.811316,131916699
5/21/2020,2.810653,2.840006,2.587593,2.643991,2.643991,110966271
5/22/2020,2.643927,2.84172,2.614651,2.795568,2.795568,119072716
5/23/2020,2.796075,2.823333,2.730089,2.763418,2.763418,89111444
5/24/2020,2.764097,2.822687,2.671446,2.671446,2.671446,94467860
5/25/2020,2.66256,2.739639,2.643945,2.728986,2.728986,89509988
5/26/2020,2.728274,2.752421,2.656275,2.684826,2.684826,82774026
5/27/2020,2.687594,2.762918,2.680712,2.706799,2.706799,79162252
5/28/2020,2.706403,2.84546,2.684932,2.823392,2.823392,85768622
5/29/2020,2.823208,2.898547,2.810215,2.879772,2.879772,98079547
5/30/2020,2.878682,2.949056,2.822827,2.918364,2.918364,119885539
5/31/2020,2.919729,2.943907,2.773254,2.796903,2.796903,101147210
6/1/2020,2.800502,2.992283,2.783114,2.960367,2.960367,122362523
6/2/2020,2.963789,3.110673,2.790078,2.891552,2.891552,157849384
6/3/2020,2.891028,3.070001,2.845485,3.035571,3.035571,108960936
6/4/2020,3.033054,3.083758,2.917415,3.000004,3.000004,106155906
6/5/2020,3.000926,3.021219,2.928801,2.942612,2.942612,82637386
6/6/2020,2.942612,2.974123,2.908494,2.917481,2.917481,61405619
6/7/2020,2.917481,2.932484,2.822491,2.889925,2.889925,76804197
6/8/2020,2.889013,2.947069,2.865068,2.939626,2.939626,66821735
6/9/2020,2.940631,2.950333,2.875377,2.907343,2.907343,79075416
6/10/2020,2.908678,2.916552,2.866535,2.887338,2.887338,81680807
6/11/2020,null,null,null,null,null,null
6/12/2020,null,null,null,null,null,null
6/13/2020,null,null,null,null,null,null
6/14/2020,2.698736,2.699889,2.583544,2.598963,2.598963,79164821
6/15/2020,2.598963,2.683125,2.448336,2.629774,2.629774,112822537
6/16/2020,2.630184,2.661644,2.578568,2.612033,2.612033,84311702
6/17/2020,2.611491,2.68958,2.563823,2.677018,2.677018,91846757
6/18/2020,2.677018,2.748126,2.567114,2.668473,2.668473,134651482
6/19/2020,2.668321,2.707836,2.608169,2.612103,2.612103,109421476
6/20/2020,null,null,null,null,null,null
6/21/2020,2.609269,2.627751,2.580182,2.587214,2.587214,70563395
6/22/2020,null,null,null,null,null,null
6/23/2020,2.673462,2.790067,2.615166,2.784748,2.784748,124142617
6/24/2020,2.785469,2.856689,2.587783,2.628554,2.628554,123144383
6/25/2020,2.626911,2.627045,2.547124,2.585455,2.585455,96155213
6/26/2020,2.580066,2.58453,2.461592,2.481635,2.481635,117403819
6/27/2020,null,null,null,null,null,null
6/28/2020,2.328073,2.436591,2.300155,2.372494,2.372494,77570461
6/29/2020,2.370545,2.441734,2.351985,2.414414,2.414414,70431090
6/30/2020,2.414425,2.423774,2.357347,2.360282,2.360282,59282212
7/1/2020,2.36061,2.447405,2.339915,2.398628,2.398628,66019108
7/2/2020,2.400744,2.404273,2.304173,2.357546,2.357546,61680738
7/3/2020,2.357701,2.357787,2.276217,2.278834,2.278834,63783458
7/4/2020,2.280515,2.352237,2.274024,2.326236,2.326236,55791860
7/5/2020,2.322635,2.336693,2.235575,2.284824,2.284824,62053180
7/6/2020,2.284824,2.448817,2.267243,2.43602,2.43602,89838422
7/7/2020,2.435155,2.582037,2.407832,2.507645,2.507645,116457681
7/8/2020,2.507917,2.677646,2.488447,2.647119,2.647119,126531532
7/9/2020,2.647119,2.647119,2.477468,2.535315,2.535315,115332454
7/10/2020,2.536271,2.578569,2.415698,2.536887,2.536887,96190047
7/11/2020,2.539092,2.716121,2.519463,2.685845,2.685845,147502448
7/12/2020,2.687666,2.826674,2.59943,2.8123,2.8123,173178789
7/13/2020,2.8123,3.145849,2.777741,2.900546,2.900546,411310595
7/14/2020,2.896716,3.037068,2.691486,2.958618,2.958618,251503668
7/15/2020,2.955228,3.199331,2.858091,3.199331,3.199331,300281072
7/16/2020,3.19849,3.303803,2.973306,3.092902,3.092902,380406590
7/17/2020,3.091382,3.207942,3.016821,3.171605,3.171605,186924039
7/18/2020,3.170273,3.170273,2.967929,3.006294,3.006294,164183771
7/19/2020,3.00516,3.044023,2.902932,2.975824,2.975824,122426954
7/20/2020,2.979083,2.982719,2.761794,2.769038,2.769038,131836408
7/21/2020,2.767972,3.050204,2.750021,3.015423,3.015423,155225484
7/22/2020,3.015395,3.088762,2.923049,3.083914,3.083914,126518487
7/23/2020,3.081796,3.216322,3.038822,3.167347,3.167347,170069171
7/24/2020,3.174461,3.188644,3.008136,3.031209,3.031209,144067871
7/25/2020,3.029744,3.105464,3.018877,3.056852,3.056852,128872044
7/26/2020,3.055425,3.09887,2.963962,2.982342,2.982342,153418589
7/27/2020,2.980709,2.982299,2.673395,2.818983,2.818983,267560519
7/28/2020,2.820347,2.886638,2.749992,2.834083,2.834083,158332703
7/29/2020,2.834303,2.937828,2.763887,2.786161,2.786161,135216953
7/30/2020,2.78436,2.847334,2.742849,2.810627,2.810627,102353935
7/31/2020,2.811197,2.897167,2.788285,2.839854,2.839854,109436570
8/1/2020,2.839854,3.054209,2.825261,3.028816,3.028816,172314234
8/2/2020,3.027366,3.117216,2.792662,2.877537,2.877537,249982954
8/3/2020,2.876969,3.060879,2.839471,3.056552,3.056552,190598019
8/4/2020,3.056475,3.289462,3.055606,3.229411,3.229411,284036870
8/5/2020,3.232543,3.248887,3.090986,3.115871,3.115871,161304036
8/6/2020,3.114597,3.367757,3.091333,3.224884,3.224884,208842704
8/7/2020,3.225787,3.275162,2.977247,3.072101,3.072101,213195511
8/8/2020,3.070796,3.476346,3.032815,3.379727,3.379727,225885660
8/9/2020,3.374193,3.767431,3.290236,3.684246,3.684246,342620805
8/10/2020,3.695444,4.270497,3.568103,4.270497,4.270497,525009906
8/11/2020,4.28012,4.411973,3.808181,4.01128,4.01128,546232328
8/12/2020,4.012852,4.458337,3.670476,4.40667,4.40667,542700999
8/13/2020,4.407319,4.480894,4.028382,4.175017,4.175017,457809393
8/14/2020,4.174241,4.28084,4.012753,4.096943,4.096943,278165302
8/15/2020,4.093446,4.300331,3.933724,4.079502,4.079502,338468042
8/16/2020,4.077575,4.364151,4.027676,4.238754,4.238754,284937976
8/17/2020,4.238754,4.246944,4.023863,4.034006,4.034006,229654913
8/18/2020,4.032036,4.139497,3.748713,3.832739,3.832739,260614843
8/19/2020,3.832739,3.911232,3.51744,3.634832,3.634832,381949535
8/20/2020,3.637057,3.917106,3.507564,3.854541,3.854541,305749012
8/21/2020,3.855696,3.900686,3.354893,3.392107,3.392107,287391403
8/22/2020,3.390968,3.599848,3.287222,3.578665,3.578665,229620598
8/23/2020,3.578138,3.606492,3.379357,3.521922,3.521922,172850687
8/24/2020,3.522043,3.790803,3.459969,3.687052,3.687052,233005843
8/25/2020,3.682312,3.701247,3.321047,3.446117,3.446117,249600095
8/26/2020,3.452973,3.495823,3.311235,3.376096,3.376096,204399530
8/27/2020,3.37471,3.414851,3.113161,3.205595,3.205595,236563338
8/28/2020,3.204725,3.309133,3.139454,3.260652,3.260652,157445155
8/29/2020,3.263068,3.420666,3.195651,3.359726,3.359726,167076368
8/30/2020,3.355941,3.420168,3.334053,3.381613,3.381613,157757544
8/31/2020,3.383325,3.45622,3.25588,3.256192,3.256192,153954444
9/1/2020,3.257145,3.498179,3.192594,3.441614,3.441614,213344459
9/2/2020,3.443413,3.459407,2.982836,3.134068,3.134068,272620178
9/3/2020,3.13382,3.13382,2.511225,2.584449,2.584449,294580604
9/4/2020,2.585298,2.843513,2.499002,2.755754,2.755754,295571096
9/5/2020,2.756035,2.826619,2.358267,2.482493,2.482493,369123395
9/6/2020,2.482493,2.631441,2.373744,2.56623,2.56623,256282107
9/7/2020,2.567711,2.596351,2.390576,2.563252,2.563252,237979550
9/8/2020,2.56315,2.648772,2.437063,2.51089,2.51089,237521903
9/9/2020,2.514384,2.607709,2.434477,2.545013,2.545013,184328870
